IncidentKey,DateKey,SomeMeasure,OtherMeasure
5536568741855516005,139683954767239145,100,200
8414409145005214045,139683954767239145,100,200
2029777941458077555,362470582192186279,100,200
3374805421579683122,362470582192186279,100,200
1353477563104543135,362470582192186279,100,200
14972952708430041741,603445775907891030,100,200
3240998215670010520,603445775907891030,100,200
9585276460381396391,603445775907891030,100,200
8878711312027137754,603445775907891030,100,200
4009724396484163124,603445775907891030,100,200
12103001468834525404,603445775907891030,100,200
17421612172843071369,603445775907891030,100,200
9944731640544674162,603445775907891030,100,200
12574400353109888639,603445775907891030,100,200
4516846936534368511,603445775907891030,100,200
17564447040466908259,603445775907891030,100,200
6529485231413182590,603445775907891030,100,200
15586345857165685000,603445775907891030,100,200
8677821492407141530,651155589582123585,100,200
2688065782824389204,685574168921406140,100,200
5500847941672837841,685574168921406140,100,200
6398311879417274296,685574168921406140,100,200
6519319132734763914,685574168921406140,100,200
7259235046521191811,685574168921406140,100,200
4212600807030411785,753822185923494654,100,200
7085070234921223436,753822185923494654,100,200
8258683769617438466,883249028861301087,100,200
11514876332993650654,883249028861301087,100,200
5028006845503979769,890499936276743030,100,200
1523699478526397950,902263246104955668,100,200
13886540175345238589,902263246104955668,100,200
16485815289149456117,902263246104955668,100,200
15128704984533610271,902263246104955668,100,200
15429859588900605253,902263246104955668,100,200
17276841924412199420,902263246104955668,100,200
12814841699165900269,902263246104955668,100,200
7048905572140342049,902263246104955668,100,200
2188675981353796469,902263246104955668,100,200
8905894237157995882,902263246104955668,100,200
16708244911517042486,902263246104955668,100,200
14518896252217946751,902263246104955668,100,200
8555471101975582931,902263246104955668,100,200
2480267096386378810,902263246104955668,100,200
1221718307879639437,902263246104955668,100,200
17316483440390292746,934033750548740827,100,200
17994972399786248735,1008882689536560101,100,200
587188777062537358,1008882689536560101,100,200
13168350753275463132,1116097063176814239,100,200
12536647777456729413,1116097063176814239,100,200
4398494808064009795,1116097063176814239,100,200
4059555882916155110,1116097063176814239,100,200
15935518449317659420,1116097063176814239,100,200
12153748614195049133,1116097063176814239,100,200
10756657482328276047,1116097063176814239,100,200
6646650843416428844,1116097063176814239,100,200
2308242476780750974,1116097063176814239,100,200
2784513805426386924,1116097063176814239,100,200
3392157797288126655,1116097063176814239,100,200
12040960129452571195,1116097063176814239,100,200
6146490350782331454,1116097063176814239,100,200
5754440615139587152,1116097063176814239,100,200
2068247995600360636,1116097063176814239,100,200
